------------Direction---------------
      0         1          2
      7       Robot        3
      6         5          4

The sequence of actions performed 
by the agent to collect the target 
-----------------------------------
Row number Column number Direction
    11           2          3
    11           3          3
    11           4          3
    11           5          3
    11           6          3
    11           7          3
    11           8          3
    11           9          3
    11          10          3
    11          11          3
    11          12          3
    11          13          3
    11          14          3
    11          14          4
    11          14          5
    12          14          5
    13          14          5
    14          14          5
    15          14          5
    16          14          5
    17          14          5
    18          14          5
    19          14          5
    20          14          5
    21          14          5
    21          14          6
    21          14          7
    21          13          7
    21          12          7
    21          11          7
    21          10          7
    21           9          7
    21           9          0
    21           9          1
    20           9          1
    20           9          2
    20           9          3
    20          10          3
    20          11          3
    20          12          3
    20          13          3
    20          14          3
    20          15          3
    20          16          3
    20          17          3
    20          18          3
    20          19          3
    20          20          3
    20          21          3
    20          21          2
    20          21          1
    19          21          1
    18          21          1
    17          21          1
    16          21          1
    16          21          0
    15          20          0
    14          19          0
    13          18          0
    12          17          0
    11          17          1
    10          17          1
     9          17          1
